,buyers,total_funds
1189,RATHOD LAKHIBEN,10768000.0
1178,BHACHIBEN KHAMUBHAI MANVAR,10768000.0
65,RAIPUR BOTLING COMPANY,10001000.0
1254,DESAI TRADING   CONSULTANTS PVT LTD,10000000.0
1267,SUNDARAM INDUSTRIES PVT LIMITED,10000000.0
1247,HAPPYTAT VILLAS PRIVATE LIMITED,10000000.0
1174,SOM DISTILLERIES PVT LTD,10000000.0
765,SUSHILA PATNI,10000000.0
1106,PRADEEP AGGARWAL,10000000.0
863,SNB MINERALS PRIVATE LIMITED,10000000.0
927,ANTIQUE INDIA PRIVATE LIMITED,10000000.0
1116,SR DEVELOPERS,10000000.0
1101,KMK DEVELOPERS PVT LTD ASHISH BHAS,10000000.0
1099,KARTHIKEYA CONSTRUCTIONS,10000000.0
1305,VALLURUPALLI PRABHU KISHORE,10000000.0
1115,SOM DISTILERIES PRIVATE LTD,10000000.0
1159,J B ENTERPRISE,10000000.0
1118,SRI SIDDARTHA CONSTRUCTIONS,10000000.0
1173,SOM DISTILLERIES BREWERIES LIMITED,10000000.0
1121,SRIVILAS HYDROTECH PVT LTD,10000000.0
751,ROSHNI DEALMARK PRIVATE LIMITED,10000000.0
836,PANACEA BIOTEC PHARMA LTD PHARMACEU,10000000.0
1307,DYNERE ENGINEERING PRIVATE LIMITED,10000000.0
1124,THE GANGES MANUFACTURING CO LTD,10000000.0
1129,VIKAS AGGARWAL,10000000.0
1094,GANGES JUTE PRIVATE LTD,10000000.0
888,SREE RAYALASEEMA HI STRENGTH HYPO LTD,10000000.0
1306,ASHOKA DEVELOPERS,10000000.0
1156,B.DAS AND ASSOCIATES PVT. LTD.,10000000.0
887,SLICK SOFTWARE SOLUTIONS PRIVATE LI,10000000.0
750,PROCURE ADVISORY SERVICES PRIVATE L,10000000.0
1097,ICONICA PROJECTS,10000000.0
997,ZUVAN ENERGY PRIVATE LIMITED,10000000.0
1090,DOYEN ENGINEERING SERVICES PRIVATE,10000000.0
1272,VAIBHAV LAXMI CAPITAL MARKET PRIVATE LIM,10000000.0
957,MIDAS PROJECTS PRIVATE LIMITED,10000000.0
966,AASHMAN ENERGY PRIVATE LIMITED,10000000.0
1292,TPK PARTNERS,10000000.0
972,DIVYESH POWER PRIVATE LIMITED,10000000.0
1025,VENKAT PRANEETH DEVELOPRS (P) LTD,10000000.0
973,ELENA RENEWABLE ENERGY PRIVATE LIMITED,10000000.0
974,FORTUNE ESTATE DEVELOPERS PVT LTD,10000000.0
797,GRINIBHRIT SOLAR POWER PVT LTD,10000000.0
1224,TEGA INDUSTRIES LIMI,10000000.0
987,SEI ARUSHI PVT LTD,10000000.0
988,SHREYAS RENEWABLE ENERGY PRIVATE LTD,10000000.0
1002,BHAGYASREE REALTORS PRIVATE LIMITED,10000000.0
991,TADAS WIND ENERGY PVT LTD,10000000.0
1222,PARIBARTAN ELECTORAL TRUST,10000000.0
994,VAMSIRAMS JYOTHI LORVEN,10000000.0
1001,BHAGYANAGAR INFRA PROJECTS,10000000.0
805,PENNAR RENEWABLES PVT LTD( NEW ERA,10000000.0
807,PREMIER PHOTOVOLTAIC MEDAK (P)LTD,10000000.0
1000,BALAJI  REAL ESTATE VENTURES PVT LT,10000000.0
942,DIVYASREE SOFTTECH REALTORS PVT LTD,10000000.0
941,DIVYASREE NSL INFRASTRUCTURE PRIVATE LIM ITED,10000000.0
1089,CYBER HOMES,10000000.0
1031,AALAYA CONSTRUCTIONS,10000000.0
1241,DAAWAT FOODS LTD,10000000.0
1070,VIPUL CHAMPAKLAL SHAH,10000000.0
929,ARS COATED STEEL,10000000.0
808,SUVARCHAS SOLAR POWER PRIVATE LIMITED,10000000.0
1061,PARESH CHAMPAKLAL SHAH,10000000.0
932,BISHOPS WEED FOOD CRAFTS PRIVATE LI,10000000.0
933,CANDY SPIRITS PVT LTD,10000000.0
1058,LPF SYSTEMS PRIVATE LIMITED,10000000.0
934,CHAYA REAL ESTATE PVT LIMITED,10000000.0
1050,SWARNARETH MINERAL INDUSTRIES,10000000.0
1049,SIDDHARTH DEVELOPERS,10000000.0
1043,FOR M/S SRI NIDHI CONSTRUCTIONS,10000000.0
938,CURATED LIVING SOLUTIONS PRIVATE LI,10000000.0
940,DIVYASREE HOLDINGS PVT LTD,10000000.0
1036,VASUDHA DEVELOPERS,10000000.0
1035,SRI KARTHIKEYA DEVELOPERS,10000000.0
1192,THE ASSOCIATED AUTO PARTS PRIVATE LIMITED,10000000.0
1034,SRI DEVELOPERS,10000000.0
1032,BHASWINI DEVELOPERS,10000000.0
1065,SAGI VENKATA RAMAKRISHNA RAJU,10000000.0
660,GORUKANTI DEVENDER RAO,10000000.0
197,BAGDOGRA REALTORS PVT LTD,10000000.0
661,GORUKANTI SURENDER RAO,10000000.0
121,DERIVE TRADING AND RESORTS PRIVATE LIMITED,10000000.0
691,GREENKO HIM KAILASH HYDRO POWER PVT LTD,10000000.0
690,GREENKO ASTHA PROJECTS (INDIA) PVT LTD,10000000.0
689,GANGDARI HYDRO POWER PVT LTD,10000000.0
681,ANANTPURA WIND ENERGIES PVT LTD,10000000.0
277,MINDARIKA PRIVATE LTD,10000000.0
680,ACHINTYA SOLAR POWER PVT LTD,10000000.0
678,14 REELS PLUS LLP,10000000.0
669,BORAVELLI RAMULAMMA,10000000.0
255,JNS INSTRUMENTS LTD,10000000.0
668,BORAVELLI BHUPAL REDDY,10000000.0
246,CENTURY TEXTILES AND INDUSTRIES LTD,10000000.0
665,RAVENDER RAO GORUKANTI,10000000.0
85,B2C CONSULTING LLP,10000000.0
66,S R C CHEMICALS PVT LTD,10000000.0
96,INOX LEISURE LTD,10000000.0
232,ALLANA COLD STORAGE,10000000.0
228,CHITRAKUT HOLDINGS LTD,10000000.0
186,HIND TERMINALS PVT LTD,10000000.0
595,APOLLO VINTRADE PVT LTD,10000000.0
176,IVL DHUNSERI PETROCHEM INDUSTRIES PRIVAT E LIMITED,10000000.0
166,REGENT ELECTRO MECH PRIVATE LIMITED,10000000.0
106,RICHA GLOBAL EXPORTS PRIVATE LIMITED,10000000.0
162,HITECH SYSTEMS & SERVICES LTD,10000000.0
156,AMBUJA HOUSING AND URBAN INFRASTRUCTURE  CO. LTD.,10000000.0
116,ADIT BUILD WELL PVT LTD,10000000.0
614,TARGET VINCOM PVT LTD,10000000.0
145,EDELWEISS RURAL   CORPORATE SERVICE,10000000.0
692,GREENKO SOLAR POWER (DHARAMAVARAM) LTD,10000000.0
69,SHAURYAVIR CARRIERS PRIVATE LIMITED,10000000.0
693,GREENKO SRI SAI KRISHNA HYDRO ENERGIES PVT LTD,10000000.0
344,UTKARSH SFATIK LIMITED,10000000.0
719,TRIREME INFRASTRUCTURRE  PVT LTD,10000000.0
451,SSALASAR  FINANCIAL ADVISORY SERVICE PVT LTD,10000000.0
448,SHREE SALASAR PROPERTIES & FINANCE PVT LTD,10000000.0
425,SURENDRA STEELS PRIVATE LIMITED,10000000.0
14,PATEL HIGHWAY MANAGEMENT PVT LTD,10000000.0
25,BELLWEY INTERNATIONAL CO,10000000.0
54,JUBILANT LIFE SCIENCES LIMITED,10000000.0
353,L S DAVAR AND CO,10000000.0
707,R.S.BROTHERS RETIAL INDIA PVT LTD,10000000.0
349,TECH MAHINDRA LTD,10000000.0
709,RAYALA SEEMA WIND ENERGY PVT LTD,10000000.0
335,FRIGERIO CONSERVA AL,10000000.0
312,PURI CONSTRUCTION PVT LTD,10000000.0
309,KANHA VINCOM PRIVATE LIMITED,10000000.0
52,IDEAL REAL ESTATES PRIVATE LIMITED,10000000.0
144,EDELWEISS HOUSING FINANCE LTD.,10000000.0
